,PL1_1,PL1_2,PL1_3,PL2_2,PL2_3,PL2_1,DIFF_cls,DIFF_pts,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17
71697,1.0,1.0,0.0,0.0,0.0,0.0,-0.15089281015173375,0.5675526957194179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64033,1.0,1.0,0.0,1.0,0.0,0.0,-0.1632226733751415,1.4630247267433885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41146,1.0,1.0,0.0,0.0,0.0,0.0,0.08498283412215371,1.4630247267433885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22768,1.0,1.0,0.0,1.0,0.0,0.0,-0.5604587015727566,-1.863014245631359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63747,1.0,1.0,0.0,0.0,0.0,0.0,-0.2516760399778493,-1.7350896697707918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62889,1.0,1.0,0.0,0.0,0.0,0.0,-0.11551146351065063,-0.5837684870256871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53252,1.0,1.0,1.0,0.0,0.0,0.0,-0.22058334141447322,1.4630247267433885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22607,0.0,0.0,0.0,1.0,0.0,1.0,0.2275523945407472,-0.8234018474405523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62636,1.0,1.0,0.0,0.0,0.0,0.0,-0.2275523945407472,0.8234018474405523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24027,1.0,1.0,0.0,0.0,0.0,0.0,0.2886936178132383,-0.7116930628862542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41234,0.0,0.0,0.0,0.0,0.0,1.0,0.07637754980157385,0.19999475944398537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55206,1.0,1.0,0.0,0.0,0.0,0.0,-0.47414965900890227,-1.0954667904679558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1758,0.0,0.0,0.0,0.0,0.0,1.0,-0.0576427026267713,2.502637124934195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62535,0.0,0.0,0.0,1.0,0.0,1.0,-0.09731269734556146,-1.2071755750222541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58183,0.0,0.0,0.0,0.0,0.0,1.0,0.18681023780253025,-1.5909493026039558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
